,Location,# Pieces of Plastic/L,Unknown Fibers,Natural Fibers,Plastic Fibers,Fragments,Microbeads,Film,# of Samples,Notes
Brevard,A1A boat ramp,2,0,2,2,0,0,0,1,Fibers
Brevard,Amelia River ,1,0,1,1,0,0,0,2,
Brevard,Amelia River bridge,3,0,3,2,0,1,0,1,"Fibers, 1 microbead"
Brevard,Anna Maria Island Pier,2,0,2,2,0,0,0,1, All fibers.
Citrus,Anna Maria Sound,7,0,1,6,0,0,1,1,"Fibers, 1 film"
Citrus,Apollo Beach Preserve,4,0,0,4,0,0,0,1,All fibers.
Citrus,Atlantic Ocean east of St. Mary's outlet,0,0,8,0,0,0,0,1,All fibers.
Citrus,Atlantic Ocean east of St. Mary's outlet,2,0,1,2,0,0,0,1,Fibers
Citrus,Atlantic Ocean east of St. Mary's outlet,4,0,8,4,0,0,0,1,Fibers
Citrus,Banana River Spoil Island near vegetation,2,0,0,12,0,0,0,6,Average of 6 samples. All fibers.
Citrus,Banana River Spoil Island vegetated shoreline,3,0,0,16,0,0,0,6,Average of 6 samples. All fibers.
Dixie,Banana River Spoil Island vegetated shoreline,3,0,0,17,0,0,0,6,Average of 6 samples. All fibers.
Escambia,Bay Port ,12,0,97,105,18,0,0,10,"Average of 10 samples. Fibers, 18 fragments"
Escambia,Bayport Kayak/Canoe Launch,1,0,72,3,0,0,0,6,Average of 6 samples
Flagler,Bayport Kayak/Canoe Launch,2,0,88,14,0,0,0,7,Average of 7 samples. All fibers.
Flagler,Bayshore Gardens Marina,1,0,1,1,0,0,0,1,Fiber.
Hernando,Becker Preserve,2,0,0,1,1,0,0,1,"Fiber, 1 fragment"
Hernando,Becker Preserve,11,0,0,11,0,0,0,1,All fibers.
Hernando,Bells River,1,0,2,1,0,0,0,1,
Hernando,Bird Key,2,0,0,2,0,0,0,1,All fibers.
Hernando,Bishop Point Park,1,0,2,2,0,0,0,2,Fibers.
Hernando,Blackburn Park,1,0,0,1,0,0,0,1,Fiber.
Hernando,Blue Heron Bridge,0,0,2,0,0,0,0,1,All fibers.
Hernando,Boca Grande Pass,1,5,3,1,0,0,0,1,Fiber.
Hernando,Boy Scout Camp,4,0,0,4,0,0,0,1,All fibers.
Hernando,C-23 Canal,48,0,0,2,46,0,,1,"Fibers, 46 fragments"
Hernando,Canoe Country Outpost,1,0,1,1,0,0,0,1,Fiber
Hernando,Canoe Country Outpost,1,,5,1,0,0,0,1,
Hernando,Canterbury School Creek,4,1,2,1,3,0,0,1,"Fiber, 3 microbeads"
Hernando,Captain Kidd Ave,0,0,0,0,0,0,0,1,1 sample
Hillsborough,Carlouel Yacht Club,8,0,0,16,0,0,0,2,Average of 2 samples. All fibers.
Hillsborough,Causeway Beach,2,0,0,2,0,0,0,1, All fibers.
Hillsborough,Chassahowitzka WMA,3,0,0,2,1,0,0,1,"Fibers, 1 fragment"
Hillsborough,Clearwater Bay,2,0,1,1,1,0,0,1,
Hillsborough,Clearwater Beach Pier 60,15,0,6,10,0,0,5,1,"Fibers, 5 film"
Lee,Clearwater Marina Aquarium,12,0,4,9,1,0,2,1,
Levy,Clearwater Marina Aquarium ,12,0,4,9,1,0,2,1,
Levy,Clearwater Marine Aquarium Marina ,15,0,0,11,0,0,4,1,"Fibers, 4 film"
Manatee,Clubhouse Drive Canal,1,0,2,2,0,0,0,2,Average of 2 samples. All fibers.
Manatee,Cooper Creek,2,0,0,2,0,0,0,1,All fibers.
Manatee,Cortez Village fisherman's wharf,2,0,0,2,0,0,0,1,All fibers.
Manatee,Courtney Campbell Causeway,3,3,6,5,0,0,0,2,Average of 2 samples. All fibers.
Manatee,Coymon Broc,20,0,5,8,0,1,11,1,"Fibers, 11 film, 1 microbead"
Manatee,Crystal River,3,0,0,6,0,0,0,2,Average of 2 samples. All fibers.
Manatee,Cypress Beach Park,5,0,0,5,0,0,0,1,All fibers.
Manatee,Daytona Beach Pier,1,3,3,1,0,0,0,1,fiber
Manatee,DD Bartel Boat Ramp,5,0,9,4,4,6,0,3,"Average of 3 samples. Fibers, 4 fragments, 6 film"
Manatee,Dowling Park boat ramp,2,0,1,2,0,0,0,1,fibers
Manatee,Downtown St. Mary's,0,0,0,0,0,0,0,1,
Manatee,Dunedin RV Resort Pond,4,2,5,4,0,0,0,1,All fibers.
Manatee,Edwards Road,1,0,3,1,0,0,0,1,"fibers, 1 fragment"
Manatee,Egans Creek,4,0,1,1,0,1,2,1,"Fiber, 1 microbead, 2 film"
Manatee,Egan's Creek Atlantic access,0,0,1,0,0,0,0,1,All fibers.
Manatee,Egan's Creek Beech st bridge,3,0,2,3,0,0,0,1,All fibers.
Manatee,Eidsvag Wreck,1,1,0,1,0,0,0,1,Fiber.
Marion,Elkhorn Forest,9,0,0,6,0,3,0,1,"Fibers, 3 microbeads"
Marion,Emerald Gardens Lake,1,0,0,1,0,0,0,1,Fiber.
Marion,Environmental Learning Center,11,0,0,11,0,0,0,1,All fibers.
Marion,Evans Creek Boat Launce,6,0,0,3,3,0,0,1,"Fibers, 3 fragments"
Marion,Far Atlantic hard bottom,3,0,8,3,0,0,0,1,Fibers
Marion,Far Atlantic Ledge,1,0,2,1,0,0,0,1,Fibers
Marion,Fargo Boat Ramp,1,0,1,1,0,0,0,1,fiber
Marion,Fernandina Beach Downtown boat ramp,2,0,6,1,0,1,0,1,"Fiber, 1 microbead"
Marion,Fernandina Beach North pier ,3,0,6,2,1,0,0,1,"Fibers, 1 fragment"
Monroe,Field Club,3,0,0,3,0,0,0,1,All fibers.
Nassau,Flaming arrow fishing lake,4,0,0,10,0,0,0,2,Average of 2 samples. All fibers.
Nassau,FOMA VC Dock,1,0,115,25,4,0,1,24,"Average of 24 samples. Fibers, 4 fragments, 1 film"
Nassau,Fort Clinch Beach Campground,3,0,1,3,0,0,0,1,All fibers.
Nassau,Fort Clinch beach campground,3,0,3,1,0,1,1,1,"Fiber, 1 microbead, 1 film"
Nassau,Fort Clinch Beach ocean side,0,0,0,0,0,0,0,1,1 sample
Nassau,Fort Clinch Jetty ,2,0,4,2,0,0,0,1,All fibers.
Nassau,Fort Clinch Ocean side,1,0,0,0,0,1,0,1,microbead
Nassau,Fort Clinch St. Mary's River,0,0,2,0,0,1,0,3,Average of 3 samples
Nassau,Fort Clinch St. Mary's River,1,0,4,1,0,0,0,2,Average of 2 samples. Fiber.
Nassau,Fort Clinch St. Mary's River,1,0,2,1,0,0,0,1,Fiber
Nassau,Fort Clinch tidal creek,1,0,2,2,0,0,0,2,Average of 2 samples. All fibers.
Nassau,Fort Clinch West Beach,0,0,0,0,0,0,0,1,1 sample
